3,447817,wilfredo torres,Mininterior,true,false,false,false,ObservacionInpec,Contraloria,false
5,986303,zacarias romero,Inpec,false,true,true,true,ObservacionInpec,Contraloria,true
13,113696,teresa calderon,Armada,true,true,true,true,ObservacionMinsalud,Contraloria,false
14,869043,alexander sarmiento,Minsalud,false,false,true,false,ObservacionInpec,Contraloria,false
15,801463,ursula gil,Mininterior,false,false,false,true,Null,Contraloria,true
21,247992,katerina salazar,Policia,false,false,false,true,ObservacionInpec,Contraloria,false
22,231634,nicolas montero,Inpec,true,true,true,true,ObservacionArmada,Contraloria,true
23,221885,xavier morales,Policia,false,true,false,true,ObservacionMinsalud,Contraloria,false
30,644483,norma romero,Inpec,true,true,false,true,ObservacionMininterior,Contraloria,true
33,535660,marta torres,Null,true,false,false,true,ObservacionInpec,Contraloria,false
37,173172,zoraida alvarado,Null,true,true,true,false,ObservacionMininterior,Contraloria,false
47,749664,alicia roberto,Policia,false,true,false,true,ObservacionArmada,Contraloria,true
54,257998,josue garcia,Armada,true,true,true,false,ObservacionMininterior,Contraloria,true
57,948845,roberto reyes,Minsalud,true,true,true,false,ObservacionMinsalud,Contraloria,true
63,945401,alexander torres,Policia,true,false,false,true,ObservacionMinsalud,Contraloria,true
68,431546,wilson alvarado,Mininterior,true,false,false,false,Null,Contraloria,false
71,485628,vicente perez,Mininterior,true,true,false,false,ObservacionMininterior,Contraloria,false
78,870886,karla delgado,Armada,false,true,false,false,Null,Contraloria,true
82,443783,luis jimenez,Armada,true,true,false,false,ObservacionMinsalud,Contraloria,true
87,155516,lucia fuentes,Inpec,true,true,false,true,ObservacionArmada,Contraloria,true
89,596381,ursula alvarez,Policia,true,false,false,true,Null,Contraloria,false
93,986853,teresa moreno,Mininterior,true,true,true,true,ObservacionMinsalud,Contraloria,false
95,490310,isabela juarez,Policia,true,false,true,true,ObservacionInpec,Contraloria,true
97,162394,hector hernandez,Policia,true,false,false,false,Null,Contraloria,true
108,982553,david reyes,Inpec,true,false,true,true,ObservacionArmada,Contraloria,true
115,107452,marta vega,Mininterior,true,true,true,false,ObservacionInpec,Contraloria,true
116,940733,benito martinez,Null,false,true,true,true,ObservacionArmada,Contraloria,false
119,341763,samuel cifuentes,Null,true,false,false,false,ObservacionMinsalud,Contraloria,false
120,631401,belan martinez,Inpec,true,true,false,false,ObservacionArmada,Contraloria,true
122,140822,patricia rojas,Inpec,false,true,true,false,ObservacionMininterior,Contraloria,true
127,946656,mariana castro,Policia,true,false,true,true,ObservacionMinsalud,Contraloria,true
131,866842,nicolas aguilar,Inpec,true,true,false,true,ObservacionInpec,Contraloria,true
135,659358,kevin fuentes,Armada,true,true,false,false,ObservacionInpec,Contraloria,true
144,879113,beronica romero,Inpec,false,true,false,true,ObservacionInpec,Contraloria,false
147,323165,josue perez,Armada,false,true,true,false,ObservacionInpec,Contraloria,true
154,777155,montserrat montero,Null,false,false,false,true,ObservacionMininterior,Contraloria,true
156,200950,eliza flores,Minsalud,false,false,false,false,ObservacionInpec,Contraloria,false
157,504757,pablo mendoza,Null,true,false,true,true,ObservacionMinsalud,Contraloria,false
163,213623,javier delgado,Policia,true,false,false,true,Null,Contraloria,false
169,854279,yadira perez,Mininterior,false,true,true,true,Null,Contraloria,true
179,263610,alexander quintana,Minsalud,false,false,true,true,ObservacionInpec,Contraloria,false
181,499674,zoraida vega,Null,true,true,true,true,ObservacionArmada,Contraloria,true
186,677147,graciela sierra,Inpec,true,true,false,true,ObservacionArmada,Contraloria,true
191,655146,bruno rojas,Mininterior,true,true,true,false,ObservacionArmada,Contraloria,true
193,849497,hugo torres,Inpec,false,false,false,true,ObservacionInpec,Contraloria,true
197,643783,gabriel flores,Mininterior,true,true,true,true,ObservacionMininterior,Contraloria,false
210,730841,oscar guzman,Mininterior,true,false,true,false,Null,Contraloria,true
214,903171,vicente soto,Minsalud,false,true,true,true,ObservacionMinsalud,Contraloria,true
221,179752,lucia alvarado,Null,false,true,false,false,ObservacionMinsalud,Contraloria,true
224,482582,luis fuentes,Armada,false,true,true,true,ObservacionMinsalud,Contraloria,true
237,822489,jorge vega,Inpec,false,true,true,true,Null,Contraloria,true
244,685203,katerina pico,Inpec,false,true,true,false,ObservacionInpec,Contraloria,true
246,371648,sofia pinto,Null,true,true,false,true,ObservacionMinsalud,Contraloria,true
248,489489,bianca roa,Minsalud,true,true,true,false,Null,Contraloria,false
252,411103,fernando ramirez,Armada,false,false,true,true,ObservacionArmada,Contraloria,true
